央视频道,#genre#
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
寒战,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8

埋堆堆频道,#genre#
楚汉骄雄,http://iptv.jxpan.vip:18888/aio/huya/29465854
封神榜,http://iptv.jxpan.vip:18888/aio/huya/29465849
无心法师,http://iptv.jxpan.vip:18888/aio/huya/30080233
西游记2,http://iptv.jxpan.vip:18888/aio/huya/29465859
活佛济公3,http://iptv.jxpan.vip:18888/aio/huya/23903123
天龙八部,http://luobo.bkpcp.top/yy/1351814644
鹿鼎记,http://luobo.bkpcp.top/yy/28265277
寻秦记,http://iptv.jxpan.vip:18888/aio/huya/29465848
大唐双龙传,http://iptv.jxpan.vip:18888/aio/huya/29465850
神雕侠侣,http://iptv.jxpan.vip:18888/aio/huya/23865171
射雕英雄传,http://iptv.jxpan.vip:18888/aio/huya/23824164
倚天屠龙记,http://iptv.jxpan.vip:18888/aio/huya/23734246
笑傲江湖,http://iptv.jxpan.vip:18888/aio/huya/23865142
谈判专家,http://luobo.bkpcp.top/yy/1382735560
刑事侦缉档案,http://iptv.jxpan.vip:18888/aio/huya/29465856
法政先锋,http://iptv.jxpan.vip:18888/aio/huya/23863804
洗冤录,http://iptv.jxpan.vip:18888/aio/huya/29465851
陀枪师姐,http://iptv.jxpan.vip:18888/aio/huya/29465857
使徒行者,http://iptv.jxpan.vip:18888/aio/huya/23734256
鉴证实录,http://iptv.jxpan.vip:18888/aio/huya/23903183
金枝欲孽,http://iptv.jxpan.vip:18888/aio/huya/29465847
扫黄先锋,http://iptv.jxpan.vip:18888/aio/huya/29465855
创世纪,http://iptv.jxpan.vip:18888/aio/huya/29465852
妙手仁心,http://iptv.jxpan.vip:18888/aio/huya/29465853
大时代,http://iptv.jxpan.vip:18888/aio/huya/23865161
野蛮亲家,http://iptv.jxpan.vip:18888/aio/huya/23863796
笑看风云,http://iptv.jxpan.vip:18888/aio/huya/29465858

